"","alpha_code","taxonomy","common_name","scientific_name","exposure_model","iucn_status","prop0561","prop0562","prop0563","prop0564","prop0565","prop0566","prop0567","propOR","propCA","propALL","CV","DV"
"43","PIGU","Alcidae (Auks)","Pigeon Guillemot","Cepphus columba","PIGU","LC",0.000222271385468072,0.000237847612359768,0.000208457755021665,0.000207408632832219,0.000201431419786483,0.000188046240583461,0.000431814308760298,0.000619860549343759,0.00107741680546821,0.00169727735481197,0.00023,0.583
"44","COLO","Gaviidae (Loons)","Common Loon","Gavia immer","COLO","LC",0.000166518129037138,0.000163308287709029,0.000366746320946534,0.000389985859749189,0.000465791528152614,0.000262144728310281,0.000352666746317094,0.000614811474627375,0.0015523501255945,0.00216716160022188,0.00067,0.476
"45","DCCO","Phalacrocoracidae (Cormorants)","Double-crested Cormorant","Nannopterum auritus","DCCO","LC",0.000127873364782688,0.000139578253765355,0.000123294672462337,0.000125668105406912,0.000126352616180208,0.000106556017449201,0.000289189368039791,0.000395745385488992,0.0006427670125975,0.00103851239808649,0.00164,0.154
"46","BRAC","Phalacrocoracidae (Cormorants)","Brandt's Cormorant","Urile penicillatus","BRAC","LC",7.16313001616782e-05,8.92609024358949e-05,9.84617347791732e-05,0.000108566433176511,0.000115357224744806,6.53641485578506e-05,0.000149318951405288,0.000214683099963138,0.000483277595298063,0.000697960695261202,0.00116,0.124
"47","COPE","Procellariidae (Petrels, Shearwaters)","Cook's Petrel","Pterodroma cookii","COPE","VU",1.54532440305868e-05,1.71738241286484e-05,2.10543373975456e-05,1.99805530664037e-05,1.88721197806515e-05,1.41139581986883e-05,3.49949302470503e-05,4.91088884457386e-05,9.2534078403836e-05,0.000141642966849575,0.00044,0.196
"48","CATE","Laridae (Gulls, Terns, Skimmers)","Caspian Tern","Hydroprogne caspia","CATE","LC",0.000113517709896058,0.000123755661442259,0.000131014890164555,0.000132150223912303,0.000133055176812725,0.000122496071068853,0.000235281532879998,0.000357777603948852,0.0006334936622279,0.000991271266176752,0.01513,0.392
"49","GUMU","Alcidae (Auks)","Guadalupe Murrelet","Synthliboramphus hypoleucus","SCMU-GUMU-CRMU","EN",0.000168654709866808,0.00018882628948297,0.000274504583271556,0.000317239738459398,0.000400051940122591,0.000163219613645822,0.000343521310611835,0.000506740924257657,0.00134927726120332,0.00185601818546098,0.00058,0.537
"50","SCMU","Alcidae (Auks)","Scripps's Murrelet","Synthliboramphus scrippsi","SCMU-GUMU-CRMU","VU",0.000168654709866808,0.00018882628948297,0.000274504583271556,0.000317239738459398,0.000400051940122591,0.000163219613645822,0.000343521310611835,0.000506740924257657,0.00134927726120332,0.00185601818546098,0.00055,0.537
"51","CRMU","Alcidae (Auks)","Craveri's murrelet","Synthliboramphus craveri","SCMU-GUMU-CRMU","VU",0.000168654709866808,0.00018882628948297,0.000274504583271556,0.000317239738459398,0.000400051940122591,0.000163219613645822,0.000343521310611835,0.000506740924257657,0.00134927726120332,0.00185601818546098,7e-04,0.589
"52","MUPE","Procellariidae (Petrels, Shearwaters)","Murphy's Petrel","Pterodroma ultima","MUPE","LC",3.45414888472373e-05,3.88764381657617e-05,7.52117133822484e-05,6.46361275728657e-05,4.43023336631719e-05,2.95048445590711e-05,7.67953767424853e-05,0.000106300221301556,0.000257568101631285,0.000363868322932841,0.00049,0.208
"53","ANMU","Alcidae (Auks)","Ancient Murrelet","Synthliboramphus antiquus","ANMU","LC",6.38148714463446e-05,7.29219985335871e-05,5.74746037893462e-05,5.64485414547873e-05,5.43204512856508e-05,9.43306911692629e-05,0.000174849904242963,0.000269180595412226,0.000304980466509716,0.000574161061921942,0.0011,0.494
"54","RTLO","Gaviidae (Loons)","Red-throated Loon","Gavia stellata","RTLO","LC",0.000119376735130422,0.000129448710144976,0.000140825042605209,0.000140693145970473,0.000141551577286204,0.000139026130156324,0.000260296638732065,0.000399322768888389,0.000671895211137284,0.00107121798002567,0.00208,0.57
"55","BRAN","Anatidae (Ducks, Geese, & Waterfowl)","Brant","Branta bernicla",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06795,0.521
"56","HADU","Anatidae (Ducks, Geese, & Waterfowl)","Harlequin Duck","Histrionicus histrionicus",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465,0.698
"57","STAL","Diomedeidae (Albatrosses)","Short-tailed Albatross","Phoebastria albatrus",NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01056,0.162
"58","TOSP","Hydrobatidae (Northern Storm-petrels)","Townsend's Storm-Petrel","Hydrobates socorroensis",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00515,0.371
"59","FOTE","Laridae (Gulls, Terns, Skimmers)","Forster's Tern","Sterna forsteri",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.381
"60","RBGU","Laridae (Gulls, Terns, Skimmers)","Ring-billed Gull","Larus delawarensis",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.134
"61","SBIG","Laridae (Gulls, Terns, Skimmers)","Short-billed Gull","Larus brachyrhynchus",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.183
"62","BLSK","Laridae (Gulls, Terns, Skimmers)","Black Skimmer","Rynchops niger",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.589
"63","LETE","Laridae (Gulls, Terns, Skimmers)","Least Tern","Sternula antillarum",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01171,0.381
"64","RBTR","Phaethontidae (Tropicbirds)","Red-billed Tropicbird","Phaethon aethereus",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17148,0.184
"65","EAGR","Podicipedidae (Grebes)","Eared Grebe","Podiceps nigricollis",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00169,0.338
"66","RNGR","Podicipedidae (Grebes)","Red-necked Grebe","Podiceps grisegena",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156,0.338
"67","MOPE","Procellariidae (Petrels, Shearwaters)","Mottled Petrel","Pterodroma inexpectata",NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044,0.299
"68","HAPE","Procellariidae (Petrels, Shearwaters)","Hawaiian Petrel","Pterodroma sandwichensis",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00074,0.26
"69","MABO","Sulidae (Gannets, Boobies)","Masked Booby","Sula dactylatra",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00549,0.75
"70","NABO","Sulidae (Gannets, Boobies)","Nazca Booby","Sula granti",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
"71","BFBO","Sulidae (Gannets, Boobies)","Blue-footed Booby","Sula nebouxii",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
"72","BRBO","Sulidae (Gannets, Boobies)","Brown Booby","Sula leucogaster",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00608,0.75
"73","RFBO","Sulidae (Gannets, Boobies)","Red-footed Booby","Sula sula",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01109,0.678
