common_name,exp_ci,CV,DV,rl_category,ess_ci,pri_rank,rank_range
Common Murre,"0.071 (0.033, 0.114)",0,0.326,LC,"0.047 (0.039, 0.056)",49,49 (41–53)
Western Gull,"0.158 (0.056, 0.208)",0.026,0.077,LC,"0.045 (0.028, 0.055)",50,50 (42–57)
Western Grebe,"0.038 (0.019, 0.065)",0.001,0.342,LC,"0.043 (0.040, 0.049)",51,51 (43–53)
Clark's Grebe,"0.038 (0.019, 0.065)",0.001,0.342,LC,"0.043 (0.040, 0.049)",52,52 (44–53)
Murphy's Petrel,"0.055 (0.013, 0.172)",0,0.208,LC,"0.031 (0.025, 0.050)",53,53 (39–57)
Pelagic Cormorant,"0.082 (0.055, 0.109)",0.001,0.159,LC,"0.029 (0.026, 0.033)",54,54 (51–57)
Laysan Albatross,"0.022 (0.005, 0.066)",0.011,0.085,NT,"0.029 (0.026, 0.034)",55,55 (51–57)
Double-crested Cormorant,"0.077 (0.014, 0.137)",0.002,0.154,LC,"0.028 (0.021, 0.036)",56,56 (50–57)
Brandt's Cormorant,"0.060 (0.030, 0.108)",0.001,0.124,LC,"0.024 (0.021, 0.029)",57,57 (51–57)
Brant,"NA (NA, NA)",0.068,0.521,LC,"NA (NA, NA)",NA,NA (NA–NA)
Harlequin Duck,"NA (NA, NA)",0.005,0.698,LC,"NA (NA, NA)",NA,NA (NA–NA)
Forster's Tern,"NA (NA, NA)",0.015,0.381,LC,"NA (NA, NA)",NA,NA (NA–NA)
Ring-billed Gull,"NA (NA, NA)",0.05,0.134,LC,"NA (NA, NA)",NA,NA (NA–NA)
Short-billed Gull,"NA (NA, NA)",0.05,0.183,LC,"NA (NA, NA)",NA,NA (NA–NA)
Black Skimmer,"NA (NA, NA)",0.015,0.589,LC,"NA (NA, NA)",NA,NA (NA–NA)
Least Tern,"NA (NA, NA)",0.012,0.381,LC,"NA (NA, NA)",NA,NA (NA–NA)
Red-billed Tropicbird,"NA (NA, NA)",0.171,0.184,LC,"NA (NA, NA)",NA,NA (NA–NA)
Eared Grebe,"NA (NA, NA)",0.002,0.338,LC,"NA (NA, NA)",NA,NA (NA–NA)
Red-necked Grebe,"NA (NA, NA)",0.002,0.338,LC,"NA (NA, NA)",NA,NA (NA–NA)
Mottled Petrel,"NA (NA, NA)",0,0.299,NT,"NA (NA, NA)",NA,NA (NA–NA)
Masked Booby,"NA (NA, NA)",0.005,0.75,LC,"NA (NA, NA)",NA,NA (NA–NA)
Nazca Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA,NA (NA–NA)
Blue-footed Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA,NA (NA–NA)
Coco's Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA,NA (NA–NA)
Red-footed Booby,"NA (NA, NA)",0.011,0.678,LC,"NA (NA, NA)",NA,NA (NA–NA)
