"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"26","POJA","Stercorariidae (Skuas)","Pomarine Jaeger","Stercorarius pomarinus",1.97,4.06,2,FALSE,"Y",">1% gobal population uses CCS","POJA","LC","stable",NA,NA,NA,NA,NA,NA,0.0020952294111473,0.00489404384179849,0.00698927325294579,0.01383,0.02,0.840585635975871,0.821703988431963,0.546960109171073,0,0.0805435670127143,"CV"
"27","ASSP","Hydrobatidae (Northern Storm-petrels)","Ashy Storm-Petrel","Hydrobates homochroa",68.42,100,5,TRUE,"Y",">1% gobal population uses CCS","ASSP","EN","decreasing",NA,NA,NA,NA,"A (threatened)",NA,0.000733657514267687,0.00211329712939167,0.00284695464365936,0.00619,0.369,0.332092423415651,0.345822281010775,0.182990584844983,0.459210526315789,0.0359850694039426,"DV"
"28","BOGU","Laridae (Gulls, Terns, Skimmers)","Bonaparte's Gull","Chroicocephalus philadelphia",75.95,100,4,FALSE,"Y",">1% gobal population uses CCS","BOGU","LC","increasing",NA,NA,NA,NA,NA,NA,0.00144177865495689,0.00314325204494928,0.00458503069990617,0.01333,0.2,0.545451163019504,0.522083103902542,0.372282472649483,0.236842105263158,0.0776274349702555,"DV"
"29","BULS","Procellariidae (Petrels, Shearwaters)","Buller's Shearwater","Ardenna bulleri",NA,NA,2,FALSE,"Y",">1% gobal population uses CCS","BULS","VU","stable",NA,NA,NA,NA,NA,NA,0.0027671733756649,0.00285985759555669,0.00562703097122159,4e-05,0.181,0.673362633726262,0.473584535568749,0.726581270344967,0.211842105263158,0.000116645281698355,"DV"
"30","SUSC","Anatidae (Ducks, Geese, & Waterfowl)","Surf Scoter","Melanitta perspicillata",27.05,80.53,3,FALSE,"Y",">1% gobal population uses CCS","SCOT","LC","decreasing",NA,NA,NA,NA,NA,NA,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,0.00019,0.736,0.0166709218865154,0.0180419676776194,0.00812105811415021,0.942105263157895,0.00099148489443602,"DV"
"31","WWSC","Anatidae (Ducks, Geese, & Waterfowl)","White-winged Scoter","Melanitta deglandi",6.99,20.82,2,FALSE,"Y",">1% gobal population uses CCS","SCOT","LC","decreasing",NA,NA,NA,NA,NA,NA,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,3e-04,0.736,0.0166709218865154,0.0180419676776194,0.00812105811415021,0.942105263157895,0.00163303394377697,"DV"
"32","BLSC","Anatidae (Ducks, Geese, & Waterfowl)","Black Scoter","Melanitta americana",0.74,15.88,2,FALSE,"Y",">1% gobal population uses CCS","SCOT","NT","decreasing",NA,NA,NA,NA,NA,NA,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,0.00027,0.78,0.0166709218865154,0.0180419676776194,0.00812105811415021,1,0.00145806602122944,"DV"
"33","PAJA","Stercorariidae (Skuas)","Parasitic Jaeger","Stercorarius parasiticus",0.06,0.13,1,FALSE,"Y","presumed and observed migration through CCS, but poor data on timing/routes/abundance, should include precautionarily","PAJA-LTJA","LC","stable",NA,NA,NA,NA,NA,NA,0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01379,0.037,0.304063190109915,0.192218326451383,0.361886069568568,0.0223684210526316,0.0803102764493176,"CV"
"34","LTJA","Stercorariidae (Skuas)","Long-tailed Jaeger","Stercorarius longicaudus",NA,NA,1,FALSE,"Y","presumed and observed migration through CCS, but poor data on timing/routes/abundance, should include precautionarily","PAJA-LTJA","LC","stable",NA,NA,NA,NA,NA,NA,0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01544,0.037,0.304063190109915,0.192218326451383,0.361886069568568,0.0223684210526316,0.089933512189432,"CV"
"35","BRPE","Pelecanidae (Pelicans)","Brown Pelican","Pelecanus occidentalis",47.12,70.68,3,TRUE,"Y",">1% gobal population uses CCS","BRPE","LC","increasing",NA,"de-listed","endangered",NA,NA,NA,0.000184872200478672,0.000724074677702332,0.000908946878181004,0.01108,0.553,0.0941909272763912,0.108078386772538,0.0362916627574388,0.701315789473684,0.0645048407791905,"DV"
"36","ARTE","Laridae (Gulls, Terns, Skimmers)","Arctic Tern","Sterna paradisaea",7.13,11.88,2,FALSE,"Y",">1% gobal population uses CCS","COTE-ARTE","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000674014277593541,0.00161939399595206,0.00229340827354561,0.00273,0.288,0.264141452331687,0.26129841359299,0.167047012176285,0.352631578947368,0.0158054356701271,"DV"
"37","COTE","Laridae (Gulls, Terns, Skimmers)","Common Tern","Sterna hirundo",0.26,0.44,1,FALSE,"N","doesn't breed in CCS, no known important migratory routes through offshore region","COTE-ARTE","LC","unknown",NA,NA,NA,NA,NA,NA,0.000674014277593541,0.00161939399595206,0.00229340827354561,0.01952,0.288,0.264141452331687,0.26129841359299,0.167047012176285,0.352631578947368,0.113729149655896,"DV"
"38","CLGR","Podicipedidae (Grebes)","Clark's Grebe","Aechmophorus clarkii",36.88,73.75,3,FALSE,"Y",">1% gobal population uses CCS","WEGR-CLGR","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000156339331243999,0.000324619662230411,0.000480958993474411,0.00137,0.342,0.041652975718677,0.0397178511104451,0.0286643792722242,0.423684210526316,0.00787355651463898,"DV"
